bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.88302419,2.89101452,0.77892791,0.58746426,-2.3E-07,0.16127098,0.00175319,0.00906652,-1.5E-07,2.69E-06,-0.00969317,-0.00249637,1.541E-05,0.07203706,-0.00294429,1.446E-05,-1.101E-05,-0.09574857,-0.00401482,0.08220104,-9.118E-05,-1.966E-05,-0.11660237,0.00026841,-8.1E-05,-5.27E-06,0.14862313,0.02185273,3.41E-06,16
2.11031288,2.96028098,0.78547406,0.51379048,-3E-08,0.15836198,0.00278616,-0.02066193,-1.74E-06,-1.326E-05,0.03607049,-0.00408172,-2.769E-05,0.11121079,-0.0062222,-3.023E-05,3.159E-05,-0.13881337,-0.01110495,0.06034173,2.236E-05,-6.595E-05,-0.07726795,-0.00066975,0.0001216,4.881E-05,0.10826392,0.03569992,6.79E-06,17
2.10467593,3.08908562,0.74056178,0.52197061,-5.3E-07,0.15659509,0.00124721,-0.01808232,-6.4E-07,4.35E-06,0.03617029,-0.00149933,1.521E-05,0.10809529,-0.00373976,1.114E-05,-1.767E-05,-0.13790271,-0.00938788,0.06146913,-8.781E-05,7.704E-05,-0.08110827,-0.00109798,-4.405E-05,-8.24E-06,0.10256161,0.02548199,3.83E-06,18
1.78679482,3.30917825,0.6758435,0.62477843,9.9E-07,0.15236159,0.0015911,0.01823326,-5.14E-06,2.89E-06,-0.02320398,0.00124675,2.8E-07,0.04886876,0.00071745,6.38E-06,-1.114E-05,-0.07016614,-0.00833168,0.0722834,-5.626E-05,3.993E-05,-0.10671676,-0.00413976,4.232E-05,3.399E-05,0.13571685,0.01909946,1.97E-06,19
1.65203723,2.61105684,0.86454056,0.62214768,-2.33E-06,0.15897253,0.00216713,0.02590051,4.71E-06,-5.7E-07,-0.03997662,-0.00438424,-4.09E-06,0.0343448,-0.00392519,-4.97E-06,-1.97E-06,-0.0481012,0.00137907,0.0688359,2.171E-05,3.89E-06,-0.09896915,0.00426358,-8.69E-06,1.769E-05,0.13008774,0.01409196,3.75E-07,20
2.07457744,3.66334287,0.50449766,0.57751346,-1.15E-06,0.14376645,-0.00319026,-0.00873243,4.22E-06,-1.862E-05,0.02264986,0.0076506,-3.781E-05,0.08925519,0.0019551,-2.762E-05,5.297E-05,-0.11770171,-0.01190727,0.06420484,0.00012493,-1.545E-05,-0.09257458,-0.00170522,4.883E-05,6.251E-05,0.10749558,0.0071953,1.44E-06,21
1.97397446,2.92496488,0.79302537,0.56153367,9.2E-07,0.16224995,0.00210292,-0.00131357,-4.77E-06,7.47E-06,0.00622107,-0.00333199,3.181E-05,0.08949974,-0.00416265,1.93E-05,-2.523E-05,-0.11475626,-0.00595187,0.08035988,-0.00017861,9.792E-05,-0.11056986,-6.713E-05,-6.331E-05,2.659E-05,0.14309561,0.02812724,1.99E-06,22
1.65993753,3.09225003,0.52423628,0.6607719,-5.1E-07,0.14128919,0.00107657,0.02464456,4.64E-06,-8E-07,-0.03640736,0.00246192,1.333E-05,0.02523608,0.00182437,-1.46E-06,7.47E-06,-0.0394279,-0.00889893,0.05481489,-1.304E-05,-7.036E-05,-0.08255373,-0.00583368,-7.048E-05,-6.123E-05,0.1089255,0.01741255,4.38E-06,23
1.91386937,2.62874079,0.69066849,0.57552178,-5.32E-06,0.1610594,0.00124449,0.00401219,1.725E-05,-5.38E-06,-0.00240769,-0.0026569,-5.254E-05,0.07975396,-0.00400557,-2.473E-05,1.775E-05,-0.10438077,-0.00178458,0.08107586,0.00040618,-9.934E-05,-0.11409941,0.00279066,1.607E-05,-3.893E-05,0.14327559,0.01488258,6.77E-08,24
1.66856685,3.22021858,0.67093213,0.64228901,3.3E-07,0.14946934,0.00203483,0.02533433,-3.22E-06,1.3E-06,-0.03570055,0.00060444,-3.23E-06,0.03033264,0.00072593,5.88E-06,-4.74E-06,-0.04759141,-0.0071539,0.06145496,-2.292E-05,2.682E-05,-0.09214714,-0.00419324,2.702E-05,2.954E-05,0.12073122,0.01822688,7.42E-07,25
2.14649288,3.50461193,0.49914756,0.55127199,2.93E-06,0.14076901,-0.00503134,-0.01805139,-4.63E-06,-1.58E-06,0.03956714,0.00791223,-2.564E-05,0.09868644,0.0012321,-3.9E-05,7.01E-06,-0.12902863,-0.00908903,0.05281441,6.168E-05,0.0001659,-0.07466555,0.00043955,0.00014584,0.00011161,0.07993737,0.00024421,3.62E-06,26
2.15436555,3.400191,0.59574171,0.52598687,-1.48E-06,0.1463044,-0.00277736,-0.02169661,3.06E-06,9.97E-06,0.04662024,0.0047665,3.988E-05,0.10627032,-0.0002345,5.092E-05,-3.326E-05,-0.13782164,-0.00873936,0.05047913,-8.627E-05,-6.555E-05,-0.06862076,0.00028014,-0.00020616,-0.00014621,0.07198199,0.00600803,8.48E-07,27
1.9008882,3.25336304,0.61801493,0.60486993,4.5E-07,0.1524692,0.00022406,0.00875452,-2.2E-07,-8.82E-06,-0.006769,0.00294172,-1.193E-05,0.06747241,0.00104273,-1.375E-05,3.157E-05,-0.09283023,-0.0093819,0.07619648,3.495E-05,1.884E-05,-0.11119434,-0.00368918,2.781E-05,-5.03E-06,0.13732299,0.01613117,1.71E-06,28
1.62976224,3.1324574,0.661216,0.64653433,-5.8E-07,0.1485555,0.00203381,0.02712862,3.28E-06,-1.47E-06,-0.03899483,0.0004852,-8.7E-07,0.02500046,0.00079237,-1.103E-05,7.59E-06,-0.04092009,-0.00664039,0.05738955,4.698E-05,-1.649E-05,-0.08650686,-0.00446004,1.442E-05,-2.3E-05,0.11453629,0.01709166,5.49E-06,29
2.05877202,3.24187664,0.67192488,0.54886847,-3.44E-06,0.15488846,-0.00023501,-0.00995913,8.07E-06,1.05E-05,0.02545049,0.0018244,2.078E-05,0.09787271,-0.00090785,4.271E-05,-2.357E-05,-0.12812621,-0.00869881,0.06764086,4.401E-05,-0.00025283,-0.09626236,-0.001271,-0.00019107,-0.00015768,0.11260383,0.01595862,4.92E-07,30
2.05083531,2.88123372,0.72606658,0.53620651,8.7E-07,0.15959479,0.00154434,-0.01186809,-9E-07,2.1E-07,0.02437125,-0.00267808,-3.97E-06,0.10222736,-0.0045583,-5.89E-06,-4.61E-06,-0.13043331,-0.00647821,0.07002081,4.473E-05,0.00011614,-0.09493796,0.0002855,1.456E-05,4.409E-05,0.12026291,0.02398879,4.96E-06,31
