bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.55304195,2.58700291,0.79990931,0.63390319,-3.45E-06,0.15559722,0.0016271,0.03083756,1.682E-05,4.74E-06,-0.04641387,-0.00241627,1.34E-06,0.01957938,-0.00204647,-4.106E-05,-3.123E-05,-0.03309988,0.00016338,0.05616392,0.00016374,2.128E-05,-0.08337911,0.00216812,5.918E-05,0.00011818,0.11230668,0.00909196,4.55E-06,1
2.10726444,3.2299578,0.43464509,0.58027899,1.95E-06,0.13833545,-0.00603669,-0.01129915,-9.59E-06,-4.3E-06,0.02733954,0.00850398,3.949E-05,0.08874793,0.00146449,5.42E-06,1.692E-05,-0.11759477,-0.00806271,0.05944372,-0.00031075,1E-08,-0.08488352,0.00062595,4.068E-05,2.651E-05,0.09604244,-0.00088507,8.77E-06,2
2.17446863,3.46175711,0.58836503,0.52069085,6.32E-06,0.14438502,-0.0031841,-0.02418046,-1.195E-05,-4.08E-06,0.05095982,0.00522843,8.906E-05,0.10765938,-0.00015043,1.811E-05,8.82E-06,-0.13914638,-0.00890737,0.04555765,-0.00032232,-0.00011206,-0.06229426,0.00041244,-6.515E-05,-3.225E-05,0.06243055,0.0047605,1.17E-06,3
2.05140506,3.35815667,0.63266671,0.55869732,3.77E-06,0.15267202,-0.00085479,-0.00818363,-6.75E-06,-1.045E-05,0.0228272,0.00349766,3.838E-05,0.09426146,0.00023074,1.105E-05,3.122E-05,-0.12426065,-0.00964077,0.0684975,-0.00013801,-0.00018907,-0.09767701,-0.00185296,-3.369E-05,-4.433E-05,0.11369713,0.01323767,4.62E-07,4
1.78419685,3.00825321,0.72818966,0.61569863,-5.09E-06,0.15626675,0.00148444,0.01818574,1.76E-05,6.59E-06,-0.02329217,-0.00036581,-4.21E-05,0.05142804,-0.00061507,-4.217E-05,-3.184E-05,-0.0732781,-0.00520999,0.07493467,0.00031896,0.00011268,-0.11000483,-0.00185941,0.00010805,0.0001035,0.14044298,0.0171015,2.32E-07,5
1.97755425,3.11624349,0.68187469,0.57238816,1.58E-06,0.15717366,0.00033494,-7.693E-05,-7.17E-06,1.08E-06,0.0083648,0.0010314,4.179E-05,0.08514375,-0.00083205,2.621E-05,-7E-08,-0.11361899,-0.00734292,0.07678183,-0.00026629,-0.00014171,-0.10954108,-0.00146385,-7.588E-05,-7.104E-05,0.13302524,0.01676902,4.6E-06,6
2.197172,3.52238305,0.5371749,0.52284994,2.53E-06,0.13985329,-0.00491759,-0.02596289,-8.59E-06,2.1E-06,0.05403179,0.0069414,8.751E-05,0.10647644,0.00028347,2.996E-05,-4.31E-06,-0.13761757,-0.00816157,0.04131898,-0.00036248,-5.454E-05,-0.05580107,0.00152133,-5.728E-05,-5.587E-05,0.05284681,-0.00061434,6.19E-06,7
2.02442436,3.03697346,0.76582292,0.54897557,-4.08E-06,0.16025712,0.00160383,-0.00707759,1.257E-05,-2.1E-06,0.01731911,-0.00204196,-7.996E-05,0.09684091,-0.0035233,-3.644E-05,1.162E-05,-0.12453927,-0.00760344,0.07423149,0.00043838,3.714E-05,-0.1029037,-0.00040005,0.00013522,3.243E-05,0.13022109,0.02646666,1.13E-06,8
2.11307552,3.10531264,0.65485729,0.52585366,-3.92E-06,0.15291068,-0.00080673,-0.01820846,7.04E-06,-1.81E-06,0.03931039,0.00118604,-5.488E-05,0.10624306,-0.00207613,-2.04E-05,5.17E-06,-0.13761886,-0.00727016,0.05854899,0.00014319,9.396E-05,-0.07931729,-0.00019987,4.554E-05,5.434E-05,0.09025724,0.01364387,3.46E-06,9
1.71541963,2.80150848,0.51660706,0.64957937,8.7E-07,0.14383746,-0.00044357,0.02163205,-3.75E-06,-6.65E-06,-0.03050733,0.00345018,1.165E-05,0.03418839,0.00158403,1.558E-05,3.454E-05,-0.05159001,-0.00807818,0.06109029,-0.00010284,-8.153E-05,-0.09119296,-0.0039116,-7.268E-05,-0.00012273,0.11899764,0.01281212,8.57E-07,10
1.93074972,3.0703705,0.51286211,0.61162737,4.4E-06,0.14688347,-0.00195578,0.00623739,-9.88E-06,-8.36E-06,-0.00298734,0.00525649,2.376E-05,0.06787786,0.00170015,7.02E-06,2.2E-05,-0.09315499,-0.00926829,0.0725846,-9.428E-05,-9.439E-05,-0.10641875,-0.00313231,2.982E-05,-2.905E-05,0.13037276,0.01011674,3.58E-07,11
1.79156389,3.02143629,0.52218519,0.64074895,8.8E-07,0.14475289,-0.00032584,0.0173209,2.25E-06,-2.52E-06,-0.02294342,0.00384271,-7.03E-06,0.04481785,0.0018675,-1.863E-05,1.99E-06,-0.06448773,-0.00936224,0.06689944,0.00013649,4.101E-05,-0.09954791,-0.00474367,3.578E-05,3.378E-05,0.1271552,0.01466483,3.32E-06,12
