bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.88302419,2.03846184,1.6564635,-1.12985193,5.4E-07,-0.23314725,-0.24409078,-0.3955241,4.23E-06,3.31E-06,-0.01316925,-0.14006549,-1.604E-05,-0.31507547,-0.38132451,3.53E-06,2.3E-05,0.46221805,-0.39512741,1.91540364,-5.689E-05,-4.566E-05,-0.00523421,0.30664751,-3.481E-05,5.62E-05,3.2896324,0.57347046,5.43E-06,16
2.11031288,2.09346458,1.56256252,-1.03394033,-4.28E-06,-0.23241295,-0.23410888,-0.43750077,-1.521E-05,-1.991E-05,0.00612342,-0.06601836,5.773E-05,-0.40962347,-0.40096713,1.973E-05,-7.392E-05,0.41330424,-0.41588915,1.91445579,6.846E-05,9.961E-05,0.00337937,0.07811638,9.552E-05,-9.34E-06,3.55414443,-0.05953972,2.69E-06,17
2.10467593,2.09157727,1.65472926,-1.04872527,-1.5E-07,-0.21447742,-0.23626086,-0.42855497,3.8E-07,2.05E-06,0.01572077,-0.12827059,-5.26E-06,-0.36748042,-0.39519219,-6.08E-06,1.036E-05,0.54335239,-0.41636868,1.94023259,-8.6E-06,-1.683E-05,-0.02371376,0.29655347,-2.356E-05,1.96E-06,3.37729047,0.57376664,6.94E-06,18
1.78679482,2.21746921,1.93745486,-1.13663425,1.2E-07,-0.17469572,-0.2053367,-0.38777085,-1.35E-06,1.76E-06,0.04412003,-0.29142692,-2.19E-06,-0.15072536,-0.35852801,-6.47E-06,2.36E-06,0.75778158,-0.22591563,1.8758814,-7.12E-06,-6.81E-06,-0.26761492,0.95254947,-1.669E-05,1.389E-05,1.80012782,1.61760144,1.54E-06,19
1.65203723,1.98693948,1.5921936,-1.17423586,-2.72E-06,-0.20868253,-0.24911657,-0.41192953,-8.96E-06,-7.02E-06,0.02195302,-0.11429876,1.856E-05,-0.3218978,-0.3690145,-9.91E-06,-1.961E-05,0.34601914,-0.37299828,1.79440936,-1.347E-05,-3.243E-05,0.11513743,0.15676267,-3.936E-05,-1.196E-05,3.22919773,0.1781904,3.12E-05,20
2.07457744,2.10185711,2.13974963,-1.14722471,0,-0.124426,-0.21848693,-0.33528096,1.67E-06,-1.83E-06,0.17602451,-0.2879392,1.08E-06,-0.1231466,-0.23890343,2.89E-06,-3.4E-07,0.74011009,0.04927695,1.9070333,-7.38E-06,6.6E-06,-0.80833714,1.27218763,-3.79E-06,-1.461E-05,0.59179508,1.27701379,3.98E-06,21
1.97397446,2.08545344,1.60842435,-1.08538098,-1.17E-06,-0.24312043,-0.23588844,-0.41224003,-4.98E-06,-5.87E-06,-0.0281908,-0.10510237,1.27E-05,-0.35236593,-0.39809323,-9.9E-07,-2.479E-05,0.42468005,-0.41940789,1.92287853,-3.07E-06,-1.138E-05,-0.00897801,0.19031263,-5.72E-06,-2.019E-05,3.45920128,0.26098678,1.73E-05,22
1.65993753,1.85206933,2.15212988,-1.30343712,1.83E-06,-0.08717043,-0.2287942,-0.29355119,4.97E-06,-2.09E-06,0.21673875,-0.24311331,-8.31E-06,-0.09730992,-0.18421898,3.236E-05,-2.221E-05,0.55584154,0.06691186,1.71446119,-5.41E-06,4.049E-05,-0.69466808,1.23081598,8.527E-05,-2.606E-05,0.31372986,1.0437401,7.5E-08,23
1.91386937,1.67841517,1.63782485,-1.19567014,-1.73E-06,-0.23800301,-0.22085086,-0.39997311,1.022E-05,-5.2E-07,-0.0155432,-0.14164785,-5.064E-05,-0.33223031,-0.33048634,-1.8E-07,0.00010024,0.42579285,-0.3244357,1.81088494,-0.00033621,-0.00042869,-0.11491662,0.24746786,-0.00056924,0.00019125,3.15110161,0.39201063,1.41E-05,24
1.66856685,2.17645684,1.97383769,-1.17584079,1.07E-06,-0.13854992,-0.21251903,-0.38094574,6.25E-06,-1.81E-06,0.10731637,-0.2862728,-4.93E-06,-0.13467865,-0.33167705,1.954E-05,-1.15E-05,0.73946462,-0.15777781,1.82021832,9.62E-06,3.314E-05,-0.25718726,1.02555816,8.651E-05,-6.885E-05,1.45020208,1.62679618,4.54E-08,25
